hashtag_id,tag_name,date,view_count,like_count,comment_count,share_count,video_count,engagement_rate,view_growth,like_growth,engagement_growth,trend_score
35,xuhuong2025,2026-05-12,1463100,42009,351,1988,3,3.0310962811179816,1700.0,100.0,0.00365891108744254,1113.9
35,xuhuong2025,2026-05-13,1463800,42009,351,1989,3,3.029715104717103,700.0,0.0,-0.0013811764008786476,584.0
36,tiktokfashion,2026-05-10,41520049,1023531,10205,221859,12,3.0240690943291253,0.0,0.0,0.0,23206.4
36,tiktokfashion,2026-05-11,41522857,1024030,10213,221968,12,3.025348110671958,2808.0,499.0,0.0012790163428326728,24771.800000000003
36,tiktokfashion,2026-05-12,41626561,1025236,10245,222287,12,3.021551479557692,103704.0,1206.0,-0.0037966311142660913,75467.0
36,tiktokfashion,2026-05-13,41729367,1025836,10252,222500,12,3.0160725175612533,102806.0,600.0,-0.005478961996438603,74858.2
38,phongcach,2026-05-10,15059414,566484,4808,79098,12,4.318826461718466,0.0,0.0,0.0,8390.6
38,phongcach,2026-05-11,15074083,568002,4828,79418,12,4.326949484957096,14669.0,1518.0,0.008123023238630012,16214.5
38,phongcach,2026-05-12,15088020,569226,4845,79511,12,4.33179407690379,13937.0,1224.0,0.004844591946694621,15771.3
38,phongcach,2026-05-13,15104036,570737,4854,79585,12,4.3377542043891975,16016.0,1511.0,0.005960127485407085,16905.199999999997
39,gym,2026-05-10,8550814,814954,3899,231499,5,12.283647816026894,0.0,0.0,0.0,23539.800000000003
39,gym,2026-05-11,8554683,815153,3901,231514,5,12.280617261841583,3869.0,199.0,-0.003030554185311729,25535.7
39,gym,2026-05-12,8558320,815428,3900,231525,5,12.278728502938836,3637.0,275.0,-0.0018887589027460905,25443.5
39,gym,2026-05-13,8561236,815714,3900,231537,5,12.278027112203528,2916.0,286.0,-0.0007013907353083937,25087.5
40,phongcachdouyin,2026-05-10,690747,49654,254,4469,7,7.87219072657467,0.0,0.0,0.0,472.3
40,phongcachdouyin,2026-05-11,696840,49974,256,4500,7,7.854015478423341,6093.0,320.0,-0.018175248151328205,3618.1
